Drink name,Spec,Drink link,Method,Glassware,garnish,Family,Month and date,Notes,Dink image,Origin
,,,,,,,,,,
Admiral,"50ml Scotch
25ml lime
20ml sugar
2 dash Orange
Dash Absinte",Scotch Whisky,Shake,Coupette,,Sour,,,,
Affinity,"50ml Scotch
15ml Dry Vermouth
15ml Sweet Vermouth
2 dash Ango",Scotch Whisky,Stir,Coupette,Lemon Twist,Sipper,,Harry Craddock Savoy 1930,,
Bobby Burns,"50ml scotch
25ml sweet vermouth 
5 Benedictine",Scotch Whisky,Stir,Coupette,Shortbread,Sipper,,Harry Craddock. The Savoy 1930,,Classic
Chancellor cocktail,"45ml scotch
15ml port
15ml dry vermouth
Dash pey",Scotch Whisky,Stir,Coupette,Lemon Twist,Manhatten,,Check speck,,Classic
Godfather,"15ml Amaretto, 45ml Scotch
",Scotch Whisky,Stir,Rocks,orange twist,Aromatic,,,,Classic
Morning glory fizz,"50ml scotch
20ml lemon
20ml sugar
dash absinthe
egg white 
top soda",Scotch Whisky,dry shake and shake,Fizz,,Sour,,harry Johnson new and improved bartender manual 1882,,Classic
Penicillin,"40ml scotch
12.5 honey syrup
12.5ml ginger syrup
20ml lemon
7.5ml islay float",Scotch Whisky,Shake,Rocks,Ginger,Sour,,"Sam Ross
M&H YNC",,Modern Classic
Rapscallion,"45 starward twofold  
35 PX house made",Scotch Whisky,Stir,Coupette,Cherry,Manhatten,,"House made PX - 
750 fino
750 cherry herring 
450 punt e mes
50 pastis 

Original spec.
40 Talisker 10
20 PX sherry 
5 Pastis
Lemon twist 
Invented by Craig Harper & Adeline Shepard- Lomborg ",,Modern Classic
Rob Roy,"50ml scotch
25ml sweet vermouth
Dash ango",Scotch Whisky,,Coupette,Lemon Twist,Manhatten,,,,Original
Whisky Business,"50ml Scotch
20ml Lemon
20ml Honey syrup",Scotch Whisky,Shake,Coupette,,Sour,,,,Modern Classic
Caiprioska,"50ml cachaca
15ml sugar
6 lime wedges
1 brown sugar cube",Vodka,muddle and shake,Rocks,lime wedge,Sour,,,,Classic
Flame of Love,"60ml House Vodka
10ml House Fino Sherry
3 x Flamed Orange Disc in Mixing Glass
",Vodka,Stir,Coupette,Flamed Orange Disc,Aromatic,,,,Classic
Gypsy Queen,"50ml House Vodka
25ml DOM Benedictine
2 Dashes Angostura Bitters
",Vodka,Stir,Coupette,Lemon Twist,Aromatic,,,,Classic
Moscow Mule,"15ml lime, 20ml ginger syrup, 50ml grey goose, top soda, candied ginger",Vodka,shake and top,Highball,Candied Ginger,Highball,,,,Classic
Russian spring punch,"50ml vodka
25ml lemon
15ml cassis
10ml sugar
50ml champagne",Vodka,shake and top,Spritz,Raspberries,Tiki,,Dick Bradsell 1980,,Classic
